Starting
Starting
Creating Images
Images created
initial homography: 1 0 0 0 1 0 0 0 1 

ncc: 0.00140631
ncc: 0.00138887
ncc: 0.00137159
ncc: 0.00135447
ncc: 0.00133751
ncc: 0.00132069
ncc: 0.00130401
ncc: 0.00128746
ncc: 0.00127047
ncc: 0.00125367
ncc: 0.00123701
ncc: 0.00122052
ncc: 0.00120417
ncc: 0.00118794
ncc: 0.00117185
ncc: 0.00115587
ncc: 0.00114001
ncc: 0.00112426
ncc: 0.00110802
ncc: 0.00109193
ncc: 0.00107597
ncc: 0.00106014
ncc: 0.00104442
ncc: 0.00102881
ncc: 0.00101332
ncc: 0.000997915
ncc: 0.000982613
ncc: 0.000967399
ncc: 0.000951771
ncc: 0.000936275
ncc: 0.000920878
ncc: 0.000905596
ncc: 0.000890404
ncc: 0.000875299
ncc: 0.00086029
ncc: 0.000845355
ncc: 0.000830507
ncc: 0.00081573
ncc: 0.000800558
ncc: 0.000785496
ncc: 0.000770514
ncc: 0.000755627
ncc: 0.000740813
ncc: 0.000726069
ncc: 0.000711407
ncc: 0.000696802
ncc: 0.00068227
ncc: 0.000667797
ncc: 0.000652853
ncc: 0.00063799
ncc: 0.000623205
ncc: 0.000608492
ncc: 0.000593838
ncc: 0.000579238
ncc: 0.000564703
ncc: 0.00055022
ncc: 0.000535794
ncc: 0.000521415
ncc: 0.000506618
ncc: 0.000491885
ncc: 0.000477213
ncc: 0.000462598
ncc: 0.000448028
ncc: 0.000433499
ncc: 0.000419022
ncc: 0.000404585
ncc: 0.000390192
ncc: 0.00102283
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0.000962563
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0.000945281
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0.000896504
ncc: 1.55486e-05
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
